Station Name,Region,Stn Number,Stn Type,Address,Alternate Address,Phone,Fax
Acacia Ridge Fire Station,BR,10,Permanent,127 Bradman St Acacia Ridge 4110,cnr Bradman and Bellrick Sts,07 3344 4329,
Agnes Water Fire Station,CR,40,Auxiliary,Lot 1 Round Hill Road Agnes Water 4677,,07 4899 2210,
Airlie Beach Fire Station,CR,28,Permanent/Auxiliary,2495 Shute Harbour Rd Airlie Beach 4802,,07 4946 6442,07 4946 7097
Allora Fire Station,SWR,23,Auxiliary,3 Muir St Allora 4362,,07 4667 5166,
Alpha Fire Station,CR,71,Auxiliary,16 Byron St Alpha 4724,Corner Byron and Tennyson Sts,07 4985 1624,07 4985 1016
Amity Point Fire Station,BR,62,Auxiliary,9 Hexton St Amity Point 4183,,07 3383 1142,
Annerley Fire Station,BR,3,Permanent,346 Ipswich Rd Annerley 4103,,07 3247 5210,
Anzac Avenue Fire Station,SWR,12,Permanent/Auxiliary,201 Anzac Av Toowoomba 4350,,07 4698 5000,07 4633 3436
Aramac Fire Station,CR,72,Auxiliary,87 Gordon St Aramac 4726,cnr Gordon and Burt Sts,07 4658 1005,07 4651 3170
Arana Hills Fire Station,BR,23,Permanent,1145 South Pine Rd Arana Hills 4054,,07 3851 0563,
Ashgrove Fire Station,BR,5,Permanent,515 Waterworks Rd Ashgrove 4060,,07 3366 0258,
Atherton Fire Station,FNR,31,Permanent / Auxiliary,17 Vernon St Atherton 4883,,07 4089 6820,
Augathella Fire Station,SWR,63,Auxiliary,65 Cavanagh St Augathella 4477,,07 4656 5802,
Ayr Fire Station,NR,21,Permanent/Auxiliary,47-49 Soper St Ayr 4807,,07 4783 2600,07 4783 4819
Babinda Fire Station,FNR,21,Auxiliary,44 Eastwood St Babinda 4861,,07 4061 0600,
Baralaba Fire Station,CR,46,Auxiliary,22 Stopford St Baralaba 4702,,07 4899 2210,
Barcaldine Fire Station,CR,73,Auxiliary,56 Ash St Barcaldine 4725,Corner Maple And Ash Sts,07 4658 1005,07 4651 2914
Bargara Fire Station,NCR,11,Auxiliary,31 Tanner St Bargara 4670,,07 4150 7900,
Beaudesert Fire Station,SER,66,Permanent/Auxiliary,39 Brisbane St Beaudesert 4285,,07 5541 1933,07 5541 1365
Beenleigh Fire Station,SER,35,Permanent,Brigade Dr Beenleigh 4207,,07 3884 8290,07 3884 8299
Beerwah Fire Station,NCR,81,Auxiliary,23 Beerwah Parade Beerwah 4519,,07 5420 7510,
Biggenden Fire Station,NCR,21,Auxiliary,22 George St Biggenden 4621,,07 4140 8040,
Bilinga Fire Station,SER,34,Permanent,240 Coolangatta Rd Bilinga 4225,,07 5569 3034,07 5569 3030
Biloela Fire Station,CR,41,Auxiliary,190 Callide St Biloela 4715,,07 4899 2210,
Blackall Fire Station,CR,74,Auxiliary,125 Shamrock St Blackall 4472,,07 4658 1005,07 4657 4409
Blackbutt Fire Station,NCR,61,Auxiliary,72 Hart St Blackbutt 4306,,07 4172 8701,
Blackwater Fire Station,CR,61,Auxiliary,2 Wilga St Blackwater 4717,,07 4983 7590,
Bollon Fire Station,SWR,47,Auxiliary,56-58 Main St Bollon 4488,,07 4671 8112,
Boonah Fire Station,SER,69,Auxiliary,6 Farley St Boonah 4310,,07 5541 4576,
Boulia Fire Station,NR,31,Auxiliary,59 Burke St Boulia 4829,,07 4747 2355,
Bowen Fire Station,NR,22,Permanent/Auxiliary,44 Gordon St Bowen 4805,,07 4786 1811,07 4786 5702
Boyne Island Fire Station,CR,42,Auxiliary,6 Gilbert Ct Boyne Island 4680,,07 4899 2210,
Bramston Beach Fire Station,FNR,22,Auxiliary,39 Evans Rd Bramston Beach 4871,,07 4061 0600,
Brassall Fire Station,SER,49,Permanent,Diamentina Boulevard Brassall 4305,,07 3201 6360,07 3201 6364
Bribie Island Fire Station,BR,29,Permanent/Auxiliary,10-12 Faraday St Bribie Island 4507,,07 3408 8932,
Buderim Fire Station,NCR,71,Auxiliary,8 Lindsay Rd Buderim 4556,,07 5479 7883,
Bundaberg Fire Station,NCR,12,Permanent / Auxiliary,57 Wyllie St Bundaberg 4670,,07 4154 6100,
Bundamba Fire Station,SER,43,Permanent,61 Brisbane Rd Bundamba 4304,,07 3280 1117,07 3280 1119
Burleigh Heads Fire Station,SER,33,Permanent,164 West Burleigh Rd Burleigh Heads 4220,,07 5569 7733,07 5569 7730
Burnett Heads Fire Station,NCR,17,Auxiliary,Brewer St Burnett Heads 4670,,07 4150 7900,
Burpengary Fire Station,BR,31,Permanent,185 Pitt Road Burpengary 4505,,07 3888 3599,
Caboolture Fire Station,BR,28,Permanent/Auxiliary,54 Lower King St Caboolture 4510,,07 5498 3347,
Cairns Fire Station,FNR,11,Permanent,237-241 Gatton St Cairns 4870,cnr Gatton And Brown Sts,07 4232 5440,07 4031 3058
Cairns South Fire Station,FNR,13,Permanent,80-84 Robert Rd Cairns South 4869,,07 4252 7200,
Calliope Fire Station,CR,43,Auxiliary,2 Menzies St Calliope 4680,,07 4899 2210,
Caloundra Fire Station,NCR,82,Permanent / Auxiliary,18 Industrial Caloundra West 4551,,07 5420 7525,
Camira Fire Station,SER,46,Permanent,170 Old Logan Road And Alice Street Camira 4300,,07 3437 3200,07 3288 4753
Camp Hill Fire Station,BR,9,Permanent,112 Ferguson Rd Camp Hill 4152,,07 3395 4790,
Cannon Hill Fire Station,BR,7,Permanent,24 Corporate Dr Cannon Hill 4170,,07 3909 4346,
Canungra Fire Station,SER,65,Auxiliary,Finch Rd Canungra 4275,,07 5541 4576,
Capalaba Fire Station,BR,30,Permanent,223 Mt Cotton Rd Capalaba 4157,,07 3131 1002,
Capella Fire Station,CR,62,Auxiliary,18 Conran St Capella 4723,,07 4983 7590,
Cardwell Fire Station,FNR,23,Auxiliary,2 Panos St Cardwell 4849,,07 4061 0600,
Cecil Plains Fire Station,SWR,31,Auxiliary,69 Taylor St Cecil Plains 4407,,07 4596 9400,07 4662 0555
Charleville Fire Station,SWR,61,Auxiliary,96 Galatea St Charleville 4470,,07 4656 5802,
Charters Towers Fire Station,NR,12,Permanent/Auxiliary,204 Gill St Queenton 4820,,07 4787 1754,07 4787 7227
Cherbourg Fire Station,NCR,67,Auxiliary,1 Fisher St Cherbourg 4605,,07 4172 8701,
Chermside Fire Station,BR,16,Permanent,526 Hamilton Rd Chermside 4032,,07 3247 4449,
Childers Fire Station,NCR,13,Auxiliary,8 Brassington Dr Childers 4660,,07 4150 7900,
Chinchilla Fire Station,SWR,35,Auxiliary,20 Villiers St Chinchilla 4413,,07 4596 9400,
Clermont Fire Station,CR,63,Auxiliary,31 Sirius St Clermont 4721,,07 4983 7590,
Cleveland Fire Station,BR,47,Permanent,49 Wellington St Cleveland 4163,cnr Wellington and Russell Sts,07 3821 2079,
Clifton Fire Station,SWR,22,Auxiliary,King St Clifton 4361,,07 4667 5166,
Cloncurry Fire Station,NR,32,Auxiliary,44 Scarr St Cloncurry 4824,,07 4747 2355,
Collinsville Fire Station,NR,23,Auxiliary,29 Garrick St Collinsville 4804,,07 4729 9151,
Coochiemudlo Island Fire Station,BR,60,Auxiliary,45 Elizabeth St Coochiemudlo Island 4184,,07 3383 1142,
